queueId,priority,scenarioGroup,scenarioId,scenarioName,seedId,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,rerunScope,requiresModelModeSupport,analysisRole,plannedUse,replacementForHistory
budget_online_020_000_seed01,1,PF-B1,budget_online_020_000,Budget-matched online-only,1,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed02,1,PF-B1,budget_online_020_000,Budget-matched online-only,2,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed03,1,PF-B1,budget_online_020_000,Budget-matched online-only,3,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed04,1,PF-B1,budget_online_020_000,Budget-matched online-only,4,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed05,1,PF-B1,budget_online_020_000,Budget-matched online-only,5,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed06,1,PF-B1,budget_online_020_000,Budget-matched online-only,6,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed07,1,PF-B1,budget_online_020_000,Budget-matched online-only,7,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed08,1,PF-B1,budget_online_020_000,Budget-matched online-only,8,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed09,1,PF-B1,budget_online_020_000,Budget-matched online-only,9,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed10,1,PF-B1,budget_online_020_000,Budget-matched online-only,10,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed11,1,PF-B1,budget_online_020_000,Budget-matched online-only,11,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed12,1,PF-B1,budget_online_020_000,Budget-matched online-only,12,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed13,1,PF-B1,budget_online_020_000,Budget-matched online-only,13,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed14,1,PF-B1,budget_online_020_000,Budget-matched online-only,14,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed15,1,PF-B1,budget_online_020_000,Budget-matched online-only,15,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed16,1,PF-B1,budget_online_020_000,Budget-matched online-only,16,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed17,1,PF-B1,budget_online_020_000,Budget-matched online-only,17,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed18,1,PF-B1,budget_online_020_000,Budget-matched online-only,18,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed19,1,PF-B1,budget_online_020_000,Budget-matched online-only,19,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed20,1,PF-B1,budget_online_020_000,Budget-matched online-only,20,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed21,1,PF-B1,budget_online_020_000,Budget-matched online-only,21,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed22,1,PF-B1,budget_online_020_000,Budget-matched online-only,22,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed23,1,PF-B1,budget_online_020_000,Budget-matched online-only,23,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed24,1,PF-B1,budget_online_020_000,Budget-matched online-only,24,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed25,1,PF-B1,budget_online_020_000,Budget-matched online-only,25,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed26,1,PF-B1,budget_online_020_000,Budget-matched online-only,26,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed27,1,PF-B1,budget_online_020_000,Budget-matched online-only,27,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed28,1,PF-B1,budget_online_020_000,Budget-matched online-only,28,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed29,1,PF-B1,budget_online_020_000,Budget-matched online-only,29,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_online_020_000_seed30,1,PF-B1,budget_online_020_000,Budget-matched online-only,30,30,true,false,4,6,0.1,10,10,35,5,0.20,0.00,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed01,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,1,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed02,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,2,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed03,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,3,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed04,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,4,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed05,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,5,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed06,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,6,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed07,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,7,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed08,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,8,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed09,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,9,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed10,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,10,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed11,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,11,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed12,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,12,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed13,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,13,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
budget_dual_010_010_seed14,1,PF-B2,budget_dual_010_010,Budget-matched equal dual,14,30,true,true,4,6,0.1,10,10,35,5,0.10,0.10,2,30,4,180,supplementary pathway fairness ABM check,"Budget-matched pathway fairness check, not part of original main table.",PATHWAY_FAIRNESS_ABM_20260615,0,coupled_seirg_full,full_model,pathway_fairness_budget_matched,false,supplementary_fairness_check,supplement,false
